Pack,Name,Challenge,More than 1 winner,Illustration?,Type,How to Win
Standard,Recovery,Escape trouble onto short grass,No,Yes,Individual,"After a wayward shot into trees, deep rough, or sand, get your very next shot to finish on short-mowed grass (fairway, fringe, or green). One clean recovery wins it."
Standard,Skip the Beach,Stay out of the sand,No,Yes,Individual,"Keep your ball out any sand traps this hole. If there are no traps, then consider this a freebie."
The Tips,Hole Out,Hole any shot from off the green,No,Yes,Individual,"Knock the ball straight into the hole with any shot hit from off the green — a chip, a pitch, a sand shot, or even a full swing from the fairway. Watching it disappear from anywhere off the putting surface wins the card."
Standard,Split the Fairway,Hit the fairway off the tee,No,Yes,Individual,"Your first shot off the tee must stop on the fairway, the fringe around the green, or the green itself."
Standard,Stay Dry,No water on this hole,No,Yes,Individual,"Keep your ball out of the water this hole. If there’s no water, consider this a freebie."
Standard,Tree Free,Stay out of the trees,No,Yes,Individual,"Keep your ball out of the trees this hole. If there’s no trees, consider this a freebie."
League,Work It,Hook or fade your drive,No,Yes,Individual,"During the hole, hit one shot that clearly curves left and one that clearly curves right, both finishing in play. The group judges the shapes. Shot-making both directions wins it."
Standard,No Duffs,No divots or chunks with an iron,No,Yes,Individual,Play the hole without a single chunk (hitting the ground behind the ball) or blade (catching it thin so it screams across the green) on any chip or pitch. The group judges anything ugly.
League,Long and Straight,Split the fairway past 150 yards,No,Yes,Individual,One tee shot must finish in the fairway and past the 150-yard marker (or an agreed landmark that far out). Distance and accuracy on the same swing wins the card.
Standard,Twenty Feet,Approach finishes within 20 feet of the pin,No,Yes,Individual,Your approach shot must stop within 20 feet of the hole (about seven paces). On or just off the green both count; pace it off or let the group judge if it's close.
Standard,Greenside Touch,A chip or pitch stops within 6 feet,No,Yes,Individual,Hit one chip or pitch from around the green that finishes within 6 feet of the hole (about two and a half paces). Cozy up one short shot to win the card.
Standard,Lag from the Fringe,"From the fringe, get within 3 feet",No,Yes,Individual,"When you putt or chip from the fringe (the collar around the green), leave it within 3 feet of the hole or hole it out. Judge the speed off the longer grass to win."
Etiquette,Silent Partner,Quiet and still,No,Yes,Individual,"Whenever another player is over the ball, stay silent and motionless — no talking, no walking, no rummaging in the bag. Hold it together all hole and the card is yours."
Etiquette,Fix It Up,Repair the course,No,Yes,Individual,Repair one ball mark on the green and replace or fill one divot you take during the hole. Leave the course a little better than you found it.
Mulligans,Triple Threat,Triple bogey or better,No,Yes,Individual,"Finish the hole no more than three strokes over par (three over is a triple bogey). Example: on a par 4, a score of 7 or better wins the card; an 8 or higher loses it."
Etiquette,Nice Shot,Compliment the group,No,Yes,Individual,"Give a genuine 'nice shot' (or 'good putt,' 'great out') to every other player at least once during the hole. Spread it around to win."
Etiquette,Search Party,Help find a ball,No,Yes,Individual,"Help a playing partner hunt for a lost ball when one goes missing. If nobody loses a ball, you win by default. Be the friend with sharp eyes."
Etiquette,Flag Duty,Tend the pin,No,Yes,Individual,Tend or pull the flagstick for a playing partner at least once this hole. A small courtesy that wins you the card.
Etiquette,Rake the Trap,Leave the bunker better than you found it,No,Yes,Individual,"Any bunker you play from, rake your footprints and marks smooth before you leave. Play no bunkers and you win by default. Good etiquette pays off."
Mulligans,Chip On,Land a chip on the green,No,Yes,Individual,Hit one chip or pitch from around the green that finishes on the putting surface. Just one clean one anytime during the hole wins it.
